2691 Event(s) in Catalog:
2022-03-30T20:03:12.767000Z |  +4.502, +135.623 | automatic
2022-03-29T12:26:53.867000Z |  +4.502, +135.623 | automatic
2022-03-28T11:49:27.167000Z |  +4.502, +135.623 | automatic
2022-03-27T17:10:23.699469Z |  +4.502, +135.623 | manual
2022-03-24T09:08:42.317000Z |  +4.502, +135.623 | automatic
2022-03-23T08:10:45.910000Z |  +4.502, +135.623 | automatic
2022-03-21T07:04:10.321000Z |  +4.502, +135.623 | automatic
2022-03-20T07:40:49.671332Z |  +4.502, +135.623 | manual
2022-03-19T05:33:21.821000Z |  +4.502, +135.623 | automatic
2022-03-18T12:10:04.677241Z |  +4.502, +135.623 | manual
2022-03-18T05:06:52.471000Z |  +4.502, +135.623 | automatic
2022-03-17T23:03:28.621000Z |  +4.502, +135.623 | automatic
2022-03-17T04:09:16.945000Z |  +4.502, +135.623 | automatic
2022-03-16T03:21:23.695000Z |  +4.502, +135.623 | automatic
2022-03-15T02:59:13.295000Z |  +4.502, +135.623 | automatic
2022-03-14T06:08:38.788798Z |  +4.502, +135.623 | 2.0  MW | manual
2022-03-14T05:15:37.311062Z |  +4.502, +135.623 | 1.5  MW | manual
2022-03-14T04:58:09.838975Z |  +4.502, +135.623 | manual
2022-03-14T01:55:05.607000Z |  +4.502, +135.623 | automatic
2022-03-13T04:10:41.257000Z |  +4.502, +135.623 | automatic
2022-03-13T01:19:56.207000Z |  +4.502, +135.623 | automatic
2022-03-11T01:47:38.342295Z |  +4.502, +135.623 | 2.1  MW | manual
2022-03-09T21:35:22.692000Z |  +4.502, +135.623 | automatic
2022-03-09T05:56:49.216220Z |  +4.502, +135.623 | 2.0  MW | manual
2022-03-08T01:55:08.234213Z |  +4.502, +135.623 | 1.8  MW | manual
2022-03-06T02:29:13.668752Z |  +4.502, +135.623 | 2.1  MW | manual
2022-03-05T23:34:24.969000Z |  +4.502, +135.623 | automatic
2022-03-05T02:38:29.177919Z |  +4.502, +135.623 | manual
2022-03-04T22:42:56.519000Z |  +4.502, +135.623 | automatic
2022-03-03T22:54:19.119000Z |  +4.502, +135.623 | automatic
2022-03-02T18:12:50.619000Z |  +4.502, +135.623 | automatic
2022-03-02T06:51:40.637485Z |  +4.502, +135.623 | 1.9  MW | manual
2022-03-01T21:27:37.427000Z |  +4.502, +135.623 | automatic
2022-02-27T20:19:25.816702Z |  +4.502, +135.623 | manual
2022-02-27T19:57:06.827000Z |  +4.502, +135.623 | automatic
2022-02-27T04:41:25.408760Z |  +4.502, +135.623 | manual
2022-02-27T02:35:12.141756Z |  +4.502, +135.623 | manual
2022-02-27T01:02:36.620313Z |  +4.502, +135.623 | manual
2022-02-26T23:13:47.279460Z |  +4.502, +135.623 | manual
2022-02-26T19:24:56.727000Z |  +4.502, +135.623 | automatic
2022-02-26T19:07:56.059846Z |  +4.502, +135.623 | manual
2022-02-25T22:10:01.927000Z |  +4.502, +135.623 | automatic
2022-02-25T17:50:19.977000Z |  +4.502, +135.623 | automatic
2022-02-25T15:00:54.427000Z |  +4.502, +135.623 | automatic
